Color,Riviera,Harlequin,Type,Qty,Value,,Total:
Turquoise (1988-),,,"7"" plate",0,,,
Turquoise (1988-),,,"7"" bowl",1,$9.00,,
Turquoise (1988-),,,salt and pepper,1,$15.00,,
Turquoise (1988-),,,large butter,,$35.00,,
Turquoise (1988-),,,"canniser,small",1,$12.00,,
Turquoise (1988-),,,ring handled jug,1,$25.00,,
Turquoise (1988-),,,C-mug,1,$10.00,,
White (1986-),,,"10"" plate",1,$15.00,,
White (1986-),,,"7"" plate",0,,,
White (1986-),,,"7"" bowl",0,,,
White (1986-),,,T&J mug,1,$10.00,,
Yellow (1936-1969),,,unlisted salad,1,$175.00,,
Yellow (1936-1969),,,juice pitcher,1,$75.00,,
Yellow (1987-2002),,,"10"" plate",1,$15.00,,
Yellow (1987-2002),,,"7"" plate",1,$8.00,,
Yellow (1987-2002),,,demitasse cup/saucer,1,$20.00,,
Yellow (1987-2002),,,"7"" bowl",0,,,
